world_size,init_life,rand,sync,deterministic_period,p,second_threshold,living
64,50,true,true,2,0.00,7, 5.2490
64,50,true,true,2,0.00,7,10.2051
64,50,true,true,2,0.00,7, 7.8369
64,50,true,true,2,0.00,7,11.8652
64,50,true,true,2,0.00,7, 8.2275
64,50,true,true,2,0.00,7, 6.2500
64,50,true,true,2,0.00,7, 5.0293
64,50,true,true,2,0.00,7, 9.0332
64,50,true,true,2,0.00,7, 5.4443
64,50,true,true,2,0.00,7,10.0098
64,50,true,true,2,0.00,7, 7.0801
64,50,true,true,2,0.00,7, 8.7891
64,50,true,true,2,0.00,7, 6.7871
64,50,true,true,2,0.00,7, 2.5146
64,50,true,true,2,0.00,7, 5.2734
64,50,true,true,2,0.00,7, 7.1045
64,50,true,true,2,0.00,7, 8.6182
64,50,true,true,2,0.00,7, 7.0313
64,50,true,true,2,0.00,7, 5.3467
64,50,true,true,2,0.00,7, 6.5674
64,50,true,true,2,0.00,7, 7.3486
64,50,true,true,2,0.00,7, 5.4199
64,50,true,true,2,0.00,7, 6.8115
64,50,true,true,2,0.00,7, 7.4219
64,50,true,true,2,0.00,7, 3.7354
64,50,true,true,2,0.00,7,11.0352
64,50,true,true,2,0.00,7,11.0107
64,50,true,true,2,0.00,7, 7.8613
64,50,true,true,2,0.00,7, 6.6162
64,50,true,true,2,0.00,7, 6.9336
64,50,true,true,2,0.00,7, 5.8350
64,50,true,true,2,0.00,7, 5.5664
64,50,true,true,2,0.00,7, 8.0566
64,50,true,true,2,0.00,7, 4.8584
64,50,true,true,2,0.00,7, 7.4707
64,50,true,true,2,0.00,7, 4.7607
64,50,true,true,2,0.00,7, 5.9570
64,50,true,true,2,0.00,7, 7.0557
64,50,true,true,2,0.00,7, 6.0059
64,50,true,true,2,0.00,7, 6.0791
64,50,true,true,2,0.00,7, 5.3955
64,50,true,true,2,0.00,7, 5.6641
64,50,true,true,2,0.00,7, 5.2002
64,50,true,true,2,0.00,7, 7.2266
64,50,true,true,2,0.00,7, 9.2529
64,50,true,true,2,0.00,7, 6.1768
64,50,true,true,2,0.00,7, 6.6162
64,50,true,true,2,0.00,7, 5.6641
64,50,true,true,2,0.00,7, 4.3701
64,50,true,true,2,0.00,7, 3.7842
64,50,true,true,2,0.00,7, 9.2773
64,50,true,true,2,0.00,7, 8.4961
64,50,true,true,2,0.00,7, 4.0527
64,50,true,true,2,0.00,7, 4.7363
64,50,true,true,2,0.00,7, 5.8594
64,50,true,true,2,0.00,7, 6.6162
64,50,true,true,2,0.00,7, 7.6904
64,50,true,true,2,0.00,7, 2.5879
64,50,true,true,2,0.00,7, 4.7119
64,50,true,true,2,0.00,7, 7.7637
64,50,true,true,2,0.00,7, 9.2285
64,50,true,true,2,0.00,7, 5.3711
64,50,true,true,2,0.00,7, 6.6162
64,50,true,true,2,0.00,7, 6.1523
64,50,true,true,2,0.00,7, 6.2012
64,50,true,true,2,0.00,7, 5.2734
64,50,true,true,2,0.00,7, 7.4707
64,50,true,true,2,0.00,7, 4.7852
64,50,true,true,2,0.00,7, 3.0762
64,50,true,true,2,0.00,7, 6.6162
64,50,true,true,2,0.00,7, 5.1514
64,50,true,true,2,0.00,7,12.6709
64,50,true,true,2,0.00,7, 9.1553
64,50,true,true,2,0.00,7, 4.4434
64,50,true,true,2,0.00,7, 6.1523
64,50,true,true,2,0.00,7, 6.7871
64,50,true,true,2,0.00,7, 7.8125
64,50,true,true,2,0.00,7, 4.7607
64,50,true,true,2,0.00,7, 7.8369
64,50,true,true,2,0.00,7, 8.1543
64,50,true,true,2,0.00,7, 8.3740
64,50,true,true,2,0.00,7, 7.6904
64,50,true,true,2,0.00,8, 7.2266
64,50,true,true,2,0.00,8, 7.6660
64,50,true,true,2,0.00,8, 7.4951
64,50,true,true,2,0.00,8,11.4990
64,50,true,true,2,0.00,8, 5.2490
64,50,true,true,2,0.00,8, 5.2490
64,50,true,true,2,0.00,8, 5.5664
64,50,true,true,2,0.00,8, 7.5928
64,50,true,true,2,0.00,8, 6.9580
64,50,true,true,2,0.00,8, 7.6416
64,50,true,true,2,0.00,8, 5.9570
64,50,true,true,2,0.00,8, 3.6377
64,50,true,true,2,0.00,8,10.6689
64,50,true,true,2,0.00,8, 9.0332
64,50,true,true,2,0.00,8, 4.7363
64,50,true,true,2,0.00,8, 3.5645
64,50,true,true,2,0.00,8, 6.3232
64,50,true,true,2,0.00,8, 9.0576
64,50,true,true,2,0.00,8, 4.8584
64,50,true,true,2,0.00,8, 4.7607
64,50,true,true,2,0.00,8, 7.2266
64,50,true,true,2,0.00,8, 9.0576
64,50,true,true,2,0.00,8, 5.2002
64,50,true,true,2,0.00,8, 6.3721
64,50,true,true,2,0.00,8, 6.6895
64,50,true,true,2,0.00,8, 7.9346
64,50,true,true,2,0.00,8, 3.6133
64,50,true,true,2,0.00,8, 7.6904
64,50,true,true,2,0.00,8, 7.6660
64,50,true,true,2,0.00,8, 4.9561
64,50,true,true,2,0.00,8, 7.1045
64,50,true,true,2,0.00,8, 7.6172
64,50,true,true,2,0.00,8, 8.7646
64,50,true,true,2,0.00,8, 8.7646
64,50,true,true,2,0.00,8, 5.9570
64,50,true,true,2,0.00,8, 6.9824
64,50,true,true,2,0.00,8, 7.0313
64,50,true,true,2,0.00,8, 6.5186
64,50,true,true,2,0.00,8, 9.3262
64,50,true,true,2,0.00,8, 4.5898
64,50,true,true,2,0.00,8, 6.2744
64,50,true,true,2,0.00,8, 4.5898
64,50,true,true,2,0.00,8, 8.4229
64,50,true,true,2,0.00,8, 4.8096
64,50,true,true,2,0.00,8,12.0361
64,50,true,true,2,0.00,8, 6.4697
64,50,true,true,2,0.00,8, 8.7891
64,50,true,true,2,0.00,8, 8.4229
64,50,true,true,2,0.00,8, 7.3242
64,50,true,true,2,0.00,8,11.2061
64,50,true,true,2,0.00,8, 4.6387
64,50,true,true,2,0.00,8, 6.2256
64,50,true,true,2,0.00,8, 9.4238
64,50,true,true,2,0.00,8, 6.0791
64,50,true,true,2,0.00,8, 6.5674
64,50,true,true,2,0.00,8, 6.5918
64,50,true,true,2,0.00,8, 5.4932
64,50,true,true,2,0.00,8,10.0098
64,50,true,true,2,0.00,8, 5.1025
64,50,true,true,2,0.00,8, 7.9102
64,50,true,true,2,0.00,8, 8.0078
64,50,true,true,2,0.00,8, 6.4697
64,50,true,true,2,0.00,8, 6.1768
64,50,true,true,2,0.00,8, 3.4424
64,50,true,true,2,0.00,8, 7.2998
64,50,true,true,2,0.00,8, 4.8828
64,50,true,true,2,0.00,8, 7.2021
64,50,true,true,2,0.00,8, 3.6865
64,50,true,true,2,0.00,8, 3.5400
64,50,true,true,2,0.00,8, 5.4932
64,50,true,true,2,0.00,8, 6.3721
64,50,true,true,2,0.00,8, 6.1768
64,50,true,true,2,0.00,8, 7.0557
64,50,true,true,2,0.00,8, 7.6660
64,50,true,true,2,0.00,8, 5.8838
64,50,true,true,2,0.00,8, 5.6641
64,50,true,true,2,0.00,8, 4.6875
64,50,true,true,2,0.00,8, 7.5439
64,50,true,true,2,0.00,8, 5.3711
64,50,true,true,2,0.00,8, 5.7861
64,50,true,true,2,0.00,8, 7.1533
64,50,true,true,2,0.00,8, 6.7139
64,50,true,true,2,0.00,8, 5.6885
64,50,true,true,2,0.00,8, 9.4238
64,50,true,true,2,0.00,8, 6.4453
64,50,true,true,2,0.00,8, 5.4932
64,50,true,true,2,0.00,8, 6.4209
64,50,true,true,2,0.00,8, 9.4971
64,50,true,true,2,0.00,8, 5.3711
64,50,true,true,2,0.00,8, 5.6885
64,50,true,true,2,0.00,8, 7.1045
64,50,true,true,2,0.00,8, 5.1025
64,50,true,true,2,0.00,8, 4.4678
64,50,true,true,2,0.00,8, 4.4922
64,50,true,true,2,0.00,8, 6.5430
64,50,true,true,2,0.00,8, 8.6914
64,50,true,true,2,0.00,8, 6.8848
64,50,true,true,2,0.00,8, 4.4678
64,50,true,true,2,0.00,8, 7.7393
64,50,true,true,2,0.00,8, 5.5908
64,50,true,true,2,0.00,8, 7.5439
64,50,true,true,2,0.00,8, 7.9834
64,50,true,true,2,0.00,8, 7.7881
64,50,true,true,2,0.00,8, 5.9326
64,50,true,true,2,0.00,8, 4.0039
64,50,true,true,2,0.00,8, 9.7656
64,50,true,true,2,0.00,8, 8.0811
64,50,true,true,2,0.00,8, 4.1992
64,50,true,true,2,0.00,8, 7.9346
64,50,true,true,2,0.00,8, 7.0557
64,50,true,true,2,0.00,8, 9.3018
64,50,true,true,2,0.00,8, 8.6426
64,50,true,true,2,0.00,8, 4.6387
64,50,true,true,2,0.00,8, 8.1543
64,50,true,true,2,0.00,8, 8.0078
64,50,true,true,2,0.00,8, 7.1045
64,50,true,true,2,0.00,8,11.5723
64,50,true,true,2,0.00,8, 4.3213
64,50,true,true,2,0.00,8, 4.4678
64,50,true,true,2,0.00,8, 6.4941
64,50,true,true,2,0.00,8, 9.5459
64,50,true,true,2,0.00,8, 4.4922
64,50,true,true,2,0.00,8, 2.9785
64,50,true,true,2,0.00,8, 7.0068
64,50,true,true,2,0.00,8, 7.9346
64,50,true,true,2,0.00,8, 8.1543
64,50,true,true,2,0.00,8, 8.3496
64,50,true,true,2,0.00,8, 7.0313
64,50,true,true,2,0.00,8, 4.1260
64,50,true,true,2,0.00,8,11.6699
64,50,true,true,2,0.00,8, 4.7607
64,50,true,true,2,0.00,8, 9.3506
64,50,true,true,2,0.00,8, 5.2490
64,50,true,true,2,0.00,8, 6.3477
64,50,true,true,2,0.00,8, 6.2988
64,50,true,true,2,0.00,8, 7.5684
64,50,true,true,2,0.00,8, 7.0557
64,50,true,true,2,0.00,8, 7.0313
64,50,true,true,2,0.00,8, 7.6904
64,50,true,true,2,0.00,8, 5.6641
64,50,true,true,2,0.00,8, 7.1533
64,50,true,true,2,0.00,8, 6.2012
64,50,true,true,2,0.00,8, 5.3223
64,50,true,true,2,0.00,8, 6.3477
64,50,true,true,2,0.00,8, 6.5186
64,50,true,true,2,0.00,8, 2.9785
64,50,true,true,2,0.00,8, 8.2275
64,50,true,true,2,0.00,8, 6.2500
64,50,true,true,2,0.00,8, 5.3711
64,50,true,true,2,0.00,8, 6.4209
64,50,true,true,2,0.00,8, 5.9326
64,50,true,true,2,0.00,8, 6.2988
64,50,true,true,2,0.00,8, 4.4678
64,50,true,true,2,0.00,8, 6.6650
64,50,true,true,2,0.00,8, 7.8125
64,50,true,true,2,0.00,8, 5.9082
64,50,true,true,2,0.00,8, 5.8105
64,50,true,true,2,0.00,8, 5.5176
64,50,true,true,2,0.00,8,10.2295
64,50,true,true,2,0.00,8, 9.1309
64,50,true,true,2,0.00,8, 6.8848
64,50,true,true,2,0.00,8, 7.8613
64,50,true,true,2,0.00,8, 7.1777
64,50,true,true,2,0.00,8, 6.8115
64,50,true,true,2,0.00,8, 7.1533
64,50,true,true,2,0.00,8, 3.4912
64,50,true,true,2,0.00,8, 6.9336
64,50,true,true,2,0.00,8, 6.2744
64,50,true,true,2,0.00,8, 6.7383
64,50,true,true,2,0.00,8, 5.4932
64,50,true,true,2,0.00,8, 7.1533
64,50,true,true,2,0.00,8, 7.1045
64,50,true,true,2,0.00,8, 5.6396
64,50,true,true,2,0.00,8, 9.4727
64,50,true,true,2,0.00,8, 4.3457
64,50,true,true,2,0.00,8, 5.3955
64,50,true,true,2,0.00,8, 6.7383
64,50,true,true,2,0.00,8, 6.2500
64,50,true,true,2,0.00,8, 7.9346
64,50,true,true,2,0.00,8, 3.8330
64,50,true,true,2,0.00,8, 4.8096
64,50,true,true,2,0.00,8, 6.0791
64,50,true,true,2,0.00,8, 7.1045
64,50,true,true,2,0.00,8, 6.3477
64,50,true,true,2,0.00,8, 8.9600
64,50,true,true,2,0.00,8, 4.3213
64,50,true,true,2,0.00,8,10.1074
64,50,true,true,2,0.00,8, 7.8613
64,50,true,true,2,0.00,8, 5.0049
64,50,true,true,2,0.00,8, 5.0293
64,50,true,true,2,0.00,8, 8.2031
64,50,true,true,2,0.00,8, 7.6416
64,50,true,true,2,0.00,8, 9.6680
64,50,true,true,2,0.00,8, 8.8379
64,50,true,true,2,0.00,8, 9.6924
64,50,true,true,2,0.00,8, 2.9785
64,50,true,true,2,0.00,8, 4.6875
64,50,true,true,2,0.00,8, 6.1523
64,50,true,true,2,0.00,8, 7.3242
64,50,true,true,2,0.00,8, 6.2500
64,50,true,true,2,0.00,5, 6.8359
64,50,true,true,2,0.00,5, 7.3975
64,50,true,true,2,0.00,5, 5.9814
64,50,true,true,2,0.00,5, 7.3486
64,50,true,true,2,0.00,5, 8.7646
64,50,true,true,2,0.00,5, 5.5176
64,50,true,true,2,0.00,5, 3.8818
64,50,true,true,2,0.00,5, 4.0283
64,50,true,true,2,0.00,5, 7.2998
64,50,true,true,2,0.00,5, 4.5898
64,50,true,true,2,0.00,5, 6.9092
64,50,true,true,2,0.00,5, 9.8145
64,50,true,true,2,0.00,5, 4.3213
64,50,true,true,2,0.00,5, 5.7129
64,50,true,true,2,0.00,5, 6.0547
64,50,true,true,2,0.00,5,11.9385
64,50,true,true,2,0.00,5, 4.0283
64,50,true,true,2,0.00,5, 7.2510
64,50,true,true,2,0.00,5, 5.5664
64,50,true,true,2,0.00,5, 5.3467
64,50,true,true,2,0.00,5, 9.5215
64,50,true,true,2,0.00,5, 7.2021
64,50,true,true,2,0.00,5, 5.3223
64,50,true,true,2,0.00,5, 7.7393
64,50,true,true,2,0.00,5, 6.9824
64,50,true,true,2,0.00,5, 6.6650
64,50,true,true,2,0.00,5, 9.6680
64,50,true,true,2,0.00,5, 8.5938
64,50,true,true,2,0.00,5, 6.2744
64,50,true,true,2,0.00,5, 6.4941
64,50,true,true,2,0.00,5, 6.8604
64,50,true,true,2,0.00,5, 7.2998
